filename,kernel,kernel_time_us,cpu_time_us,achieved_occupancy,ipc,sm_efficiency,dram_read_throughput,stall_memory_dependency,flop_count_sp,dram_utilization,gld_efficiency
BLOCK_PARALLEL_DIM_2.txt,svm_inference_batched_kernel,17958.0,547149.0,0.086562,0.42169,99.93,4.3621,48.18,120000000.0,(1),25.0
BLOCK_PARALLEL_DIM_8.txt,svm_inference_batched_kernel,16167.000000000002,1411830.0,0.084144,0.415749,99.94,18.436,48.48,240000000.0,(1),100.0
BLOCK_PARALLEL_DIM_32.txt,svm_inference_batched_kernel,17902.0,4205940.0,0.233404,0.679557,86.86,73.57,69.55,720000000.0,(2),100.0
BLOCK_PARALLEL_NUM_INPUTS_30.txt,svm_inference_batched_kernel,2.4,2.0,0.015619,0.049597,7.61,,18.5,360.0,(1),25.0
BLOCK_PARALLEL_NUM_INPUTS_1000.txt,svm_inference_batched_kernel,4.032,50.0,0.062581,0.320531,31.95,,25.8,12000.0,(1),25.0
BLOCK_PARALLEL_NUM_INPUTS_100000.txt,svm_inference_batched_kernel,182.59,5872.0,0.068792,0.423198,96.75,,32.74,1200000.0,(1),25.0
BLOCK_PARALLEL_NUM_INPUTS_10000000.txt,svm_inference_batched_kernel,17951.0,537663.0,0.087522,0.44574,94.77,4.3601,45.47,120000000.0,(1),25.0
BLOCK_PARALLEL_THREADS_MAX_4.txt,svm_inference_batched_kernel,16165.0,539591.0,0.078384,0.358249,99.88,4.61,54.01,80000000.0,(1),25.0
BLOCK_PARALLEL_THREADS_MAX_8.txt,svm_inference_batched_kernel,17918.0,529132.0,0.089429,0.459566,91.92,4.6092,44.76,120000000.0,(1),25.0
BLOCK_PARALLEL_THREADS_MAX_32.txt,svm_inference_batched_kernel,16167.000000000002,535739.0,0.089768,0.450447,93.53,4.6086,46.21,120000000.0,(1),25.0
BLOCK_PARALLEL_THREADS_MAX_64.txt,svm_inference_batched_kernel,16167.000000000002,545238.0,0.087114,0.421428,99.94,4.6098,48.62,120000000.0,(1),25.0
THREAD_PARALLEL_DIM_2.txt,svm_inference_threaded_kernel_2d,566.49,528652.0,0.077544,0.132886,81.92,132.24,82.23,40000000.0,(4),50.0
THREAD_PARALLEL_DIM_8.txt,svm_inference_threaded_kernel_general,614.49,1413300.0,0.475436,0.397319,98.81,483.56,94.63,170000000.0,(9),12.5
THREAD_PARALLEL_DIM_32.txt,svm_inference_threaded_kernel_general,4572.5,4147220.0,0.496606,0.118357,99.81,501.71,20.09,650000000.0,(9),12.51
THREAD_PARALLEL_NUM_INPUTS_30.txt,svm_inference_threaded_kernel_2d,2.783,2.0,0.015611,0.017512,0.2,,15.62,120.0,(1),46.88
THREAD_PARALLEL_NUM_INPUTS_1000.txt,svm_inference_threaded_kernel_2d,2.624,50.0,0.015626,0.019023,6.51,,13.14,4000.0,(0),50.0
THREAD_PARALLEL_NUM_INPUTS_100000.txt,svm_inference_threaded_kernel_2d,8.48,5937.0,0.043986,0.12417,45.75,,50.25,400000.0,(1),50.0
THREAD_PARALLEL_NUM_INPUTS_10000000.txt,svm_inference_threaded_kernel_2d,565.47,531618.0,0.082933,0.141313,76.96,132.24,82.11,40000000.0,(4),50.0
THREAD_PARALLEL_THREADS_MAX_4.txt,svm_inference_threaded_kernel_2d,4042.9000000000005,536142.0,0.055312,0.118726,92.22,18.425,77.71,40000000.0,(1),50.0
THREAD_PARALLEL_THREADS_MAX_8.txt,svm_inference_threaded_kernel_2d,2022.8999999999999,529602.0,0.058386,0.115982,94.34,36.816,79.45,40000000.0,(1),50.0
THREAD_PARALLEL_THREADS_MAX_32.txt,svm_inference_threaded_kernel_2d,565.24,549988.0,0.077293,0.132591,82.08,132.15,82.24,40000000.0,(4),50.0
THREAD_PARALLEL_THREADS_MAX_64.txt,svm_inference_threaded_kernel_2d,284.06,530204.0,0.151767,0.221036,97.66,262.43,84.62,40000000.0,(7),50.0
